source,ref_annonce,date_scraped,type_bien,transaction,ville,prix,devise,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_sdb,etage,etat,ascenseur,piscine,parking,agence,vendeur_type,date_publication,titre,url
agenz.ma,video,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #1,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-hopitaux/408203/video
agenz.ma,697605,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #2,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/bourgogne-ouest/697605
agenz.ma,630726,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #3,https://agenz.ma/fr/annonces/immo-dar-bouazza/vente-villas/tamaris/630726
agenz.ma,187736,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #4,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/maarif-extension/187736
agenz.ma,53219,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #5,https://agenz.ma/fr/annonces/immo-dar-bouazza/vente-villas/dar-bouazza/53219
agenz.ma,publier,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #6,https://agenz.ma/fr/login?redirect=/fr/espace-pro/annonces/publier
agenz.ma,788210,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #7,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/palmier/788210
agenz.ma,408203,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #8,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-hopitaux/408203
agenz.ma,video,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #9,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-princesses/239342/video
agenz.ma,609558,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #10,https://agenz.ma/fr/annonces/immo-dar-bouazza/vente-immeubles/tamaris/609558
agenz.ma,video,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #11,https://agenz.ma/fr/annonces/immo-dar-bouazza/vente-appartements/dar-bouazza/246269/video
agenz.ma,438333,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #12,https://agenz.ma/fr/annonces/immo-casablanca/vente-locaux-magasins/oasis/438333
agenz.ma,video,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #13,https://agenz.ma/fr/annonces/immo-dar-bouazza/vente-immeubles/tamaris/609558/video
agenz.ma,video,2026-06-03 00:09,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #14,https://agenz.ma/fr/annonces/immo-casablanca/vente-locaux-magasins/oasis/438333/video
agenz.ma,110215,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #15,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/bourgogne-ouest/110215
agenz.ma,523446,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #16,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-hopitaux/523446
agenz.ma,video,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #17,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-hopitaux/523446/video
agenz.ma,246269,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #18,https://agenz.ma/fr/annonces/immo-dar-bouazza/vente-appartements/dar-bouazza/246269
agenz.ma,69670,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #19,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-hopitaux/69670
agenz.ma,1210,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #20,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/californie/1210
agenz.ma,979775,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #21,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/maarif-extension/979775
agenz.ma,239342,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #22,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/les-princesses/239342
agenz.ma,144176,2026-06-03 00:09,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Agenz,professionnel,,Annonce Agenz #23,https://agenz.ma/fr/annonces/immo-casablanca/vente-appartements/bourgogne-est/144176
