source,ref_annonce,date_scraped,type_bien,transaction,ville,prix,devise,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_sdb,etage,etat,ascenseur,piscine,parking,agence,vendeur_type,date_publication,titre,url
almanzil.ma,%d8%b4%d9%82%d8%a9-%d9%84%d9%84%d8%a8%d9%8a%d8%b9,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #1,https://almanzil.ma/property/%d8%b4%d9%82%d8%a9-%d9%84%d9%84%d8%a8%d9%8a%d8%b9/
almanzil.ma,%d9%85%d9%84%d9%83%d9%8a%d8%a9,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #2,https://almanzil.ma/property/%d9%85%d9%84%d9%83%d9%8a%d8%a9/
almanzil.ma,apartment-de-lux-avec-equipment,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #3,https://almanzil.ma/property/apartment-de-lux-avec-equipment/
almanzil.ma,maison-%f0%9f%8f%a1-rdc-1-lazaret-salam,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #4,https://almanzil.ma/property/maison-%f0%9f%8f%a1-rdc-1-lazaret-salam/
almanzil.ma,terrain-r2-commercial-a-vendre,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #5,https://almanzil.ma/property/terrain-r2-commercial-a-vendre/
almanzil.ma,appartement-260-m%c2%b2-double-facade-labo-al-razi,2026-06-03 02:43,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #6,https://almanzil.ma/property/appartement-260-m%c2%b2-double-facade-labo-al-razi/
almanzil.ma,riad-for-sale-marrakech-medina,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #7,https://almanzil.ma/property/riad-for-sale-marrakech-medina/
almanzil.ma,%d9%85%d9%86%d8%b2%d9%84-%d8%a8%d8%ad%d8%af-%d8%a7%d9%84%d8%b3%d9%88%d8%a7%d9%84%d9%85-%d8%aa%d8%ac%d8%a7%d8%b1%d9%8a-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-120-%d9%85%d8%aa%d8%b1-%d8%aa%d8%ac%d8%a7%d8%b1,2026-06-03 02:43,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #8,https://almanzil.ma/property/%d9%85%d9%86%d8%b2%d9%84-%d8%a8%d8%ad%d8%af-%d8%a7%d9%84%d8%b3%d9%88%d8%a7%d9%84%d9%85-%d8%aa%d8%ac%d8%a7%d8%b1%d9%8a-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-120-%d9%85%d8%aa%d8%b1-%d8%aa%d8%ac%d8%a7%d8%b1/
almanzil.ma,appartement-60-m2-el-baraka-hay-hassani,2026-06-03 02:43,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #9,https://almanzil.ma/property/appartement-60-m2-el-baraka-hay-hassani/
almanzil.ma,appartement-haut-standing-a-vendre-a-la-ville-ocre,2026-06-03 02:43,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Almanzil,professionnel,,Annonce Almanzil #10,https://almanzil.ma/property/appartement-haut-standing-a-vendre-a-la-ville-ocre/
