source,ref_annonce,date_scraped,type_bien,transaction,ville,prix,devise,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_sdb,etage,etat,ascenseur,piscine,parking,agence,vendeur_type,date_publication,titre,url
almanzil.ma,%d8%b4%d9%82%d8%a9-%d9%84%d9%84%d8%a8%d9%8a%d8%b9,2026-06-03 22:32,Appartement,vente,Meknès,540000,MAD,,125,,20260525,6,,,,,,Almanzil,professionnel,,شقة للبيع - Al Manzil,https://almanzil.ma/property/%d8%b4%d9%82%d8%a9-%d9%84%d9%84%d8%a8%d9%8a%d8%b9/
almanzil.ma,apartment-de-lux-avec-equipment,2026-06-03 22:32,Appartement,vente,Mohammedia,6000,MAD,,61,,20260528,2,,,,,,Almanzil,professionnel,,Apartment de lux avec equipment - Al Manzil,https://almanzil.ma/property/apartment-de-lux-avec-equipment/
almanzil.ma,appartement-260-m%c2%b2-double-facade-labo-al-razi,2026-06-03 22:32,Appartement,vente,Tanger,1930000,MAD,,260,,,0,,,,,,Almanzil,professionnel,,Appartement 260 m² Double Façade Labo Al Razi - Al Manzil,https://almanzil.ma/property/appartement-260-m%c2%b2-double-facade-labo-al-razi/
almanzil.ma,%d9%85%d9%84%d9%83%d9%8a%d8%a9,2026-06-03 22:33,Appartement,vente,Oujda,900000,MAD,,150,,,4,,,,,,Almanzil,professionnel,,ملكية - Al Manzil,https://almanzil.ma/property/%d9%85%d9%84%d9%83%d9%8a%d8%a9/
almanzil.ma,maison-%f0%9f%8f%a1-rdc-1-lazaret-salam,2026-06-03 22:33,Appartement,vente,Oujda,,MAD,,110,,20260527,3,,,,,Oui,Almanzil,professionnel,,Maison 🏡 Rdc + 1 lazaret Salam - Al Manzil,https://almanzil.ma/property/maison-%f0%9f%8f%a1-rdc-1-lazaret-salam/
almanzil.ma,terrain-r2-commercial-a-vendre,2026-06-03 22:33,Appartement,vente,Agadir,2300000,MAD,,121,,,3,,,,,,Almanzil,professionnel,,Terrain R+2 commercial à vendre - Al Manzil,https://almanzil.ma/property/terrain-r2-commercial-a-vendre/
almanzil.ma,belle-villa-a-rabat,2026-06-03 22:33,Appartement,vente,Rabat,13000000,MAD,,450,,,3,,,,,,Almanzil,professionnel,,Belle Villa a Rabat - Al Manzil,https://almanzil.ma/property/belle-villa-a-rabat/
almanzil.ma,bel-appartement-a-marrakech-prix-negociable,2026-06-03 22:33,Appartement,vente,Marrakech,100000,MAD,,91,,,3,,,Oui,,Oui,Almanzil,professionnel,,"Bel appartement a Marrakech, prix negociable. - Al Manzil",https://almanzil.ma/property/bel-appartement-a-marrakech-prix-negociable/
almanzil.ma,riad-for-sale-marrakech-medina,2026-06-03 22:33,Appartement,vente,Marrakech,5000000,MAD,,250,,,2,,,,,,Almanzil,professionnel,,Riad for sale Marrakech Medina - Al Manzil,https://almanzil.ma/property/riad-for-sale-marrakech-medina/
almanzil.ma,appartement-60-m2-el-baraka-hay-hassani,2026-06-03 22:33,Appartement,vente,Casablanca,480000,MAD,,60,,,1,,,,,,Almanzil,professionnel,,Appartement 60 m2 el baraka hay Hassani - Al Manzil,https://almanzil.ma/property/appartement-60-m2-el-baraka-hay-hassani/
