source,ref_annonce,date_scraped,type_bien,transaction,ville,prix,devise,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_sdb,etage,etat,ascenseur,piscine,parking,agence,vendeur_type,date_publication,titre,url
avito.ma,57806404,2026-06-01 21:12,Appartement,vente,Casablanca,41200000,MAD,388679.0,106.0,,3.0,2.0,4.0,,,,,Radouane,particulier,il y a 1 heure Premium 1,Appt meublé à vendre Rés fermée et sécurisée H24,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_3_chambres_et_2_salles_de_bain_57806404.htm
avito.ma,57909367,2026-06-01 21:13,Appartement,vente,Casablanca,2100000,MAD,21649.0,97.0,,2.0,2.0,2.0,,,,,MOURID ISMAIL,particulier,il y a 3 heures Premium 1,Appartement bord de mer,https://www.avito.ma/fr/casablanca/appartements/Appartement_bord_de_mer_57909367.htm
avito.ma,57713415,2026-06-01 21:13,Appartement,vente,Casablanca,51490000,MAD,668701.0,77.0,,2.0,2.0,5.0,,,,,HOUCINE,particulier,il y a 3 heures Premium 1,Appartement à vendre 77m2 pas de semsar,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_à_vendre_77m2_pas_de_semsar_57713415.htm
avito.ma,57850001,2026-06-01 21:13,Appartement,vente,Casablanca,2150000,MAD,11082.0,194.0,,3.0,2.0,6.0,,,,,Appartement spacieux à vendre – Sidi Maarouf,particulier,il y a 47 minutes Premium 1,Serraj immobilier,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_spacieux_à_vendre___Sidi_Maarouf_57850001.htm
avito.ma,57925442,2026-06-01 21:13,Appartement,vente,Casablanca,41250000,MAD,589286.0,70.0,,2.0,2.0,4.0,,,,,/mois,particulier,il y a 3 heures Premium 1,ALPHA TRANSACTION,https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Appartement_à_vendre_70_m²_à_Quartier_des_Hôpitaux_57925442.htm
avito.ma,57902463,2026-06-01 21:13,Appartement,vente,Casablanca,61850000,MAD,589048.0,105.0,,2.0,2.0,6.0,,,,,/mois,particulier,il y a 7 heures Premium 1,Serraj immobilier,https://www.avito.ma/fr/oasis/appartements/Appt_meublé_à_Oasis_à_vendre_105m²_57902463.htm
avito.ma,57083568,2026-06-01 21:13,Appartement,vente,Casablanca,1330000,MAD,24182.0,55.0,,1.0,1.0,2.0,,,,,Damane immo,agence,il y a 5 heures Premium 1,Appartement à vendre à Maarif,https://www.avito.ma/fr/maarif/appartements/Appartement_à_vendre_à_Maarif_57083568.htm
avito.ma,57946600,2026-06-01 21:13,Appartement,vente,Casablanca,52000000,MAD,263959.0,197.0,,2.0,2.0,5.0,,,,,/mois,particulier,il y a 3 heures Premium 1,GUY HOQUET CASABLANCA,https://www.avito.ma/fr/ferme_bretone/appartements/Dernier_étage_à_vendre_197_m²_à_proche_de_l_OCP_57946600.htm
avito.ma,57516868,2026-06-01 21:13,Appartement,vente,Casablanca,33750000,MAD,177632.0,190.0,,4.0,3.0,3.0,,,,,A vendre un appartement avec terrasse,particulier,il y a 8 heures Premium 1,habit immobilier,https://www.avito.ma/fr/racine/appartements/A_vendre_un_appartement_avec_terrasse_57516868.htm
avito.ma,47418399,2026-06-01 21:14,Appartement,vente,Casablanca,724000,MAD,10197.0,71.0,,2.0,2.0,5.0,,,,,Rez de chaussée,particulier,il y a 8 heures Premium 1,CHAABI LIL ISKANE,https://www.avito.ma/fr/la_gironde/appartements/Derniers_appartements_de_67_à_71m²_à_La_Gironde_47418399.htm
avito.ma,57749452,2026-06-01 21:14,Appartement,vente,Casablanca,51295900,MAD,949924.0,54.0,,1.0,1.0,5.0,,,,,GOLF BUILDING,particulier,il y a 11 heures Premium 1,MAGNIFIQUES STUDIOS & APPARTEMENTS HAUT STANDING,https://www.avito.ma/fr/maarif/appartements/MAGNIFIQUES_STUDIOS___APPARTEMENTS_HAUT_STANDING_57749452.htm
avito.ma,57951422,2026-06-01 21:14,Appartement,vente,Casablanca,42950000,MAD,199767.0,215.0,,3.0,2.0,1.0,,,,,High swot immo,agence,il y a 1 heure Premium 1,Appartements haut standing - Californie,https://www.avito.ma/fr/californie/appartements/Appartements_haut_standing___Californie_57951422.htm
avito.ma,57946517,2026-06-01 21:14,Appartement,vente,Casablanca,22200000,MAD,172093.0,129.0,,2.0,2.0,2.0,,,,,Appartement à vendre 129 m2 plus 15m2 de parking,particulier,il y a 3 heures Premium 1,GUY HOQUET CASABLANCA,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_à_vendre_129_m2_plus_15m2_de_parking_57946517.htm
