source,ref_annonce,date_scraped,type_bien,transaction,ville,prix,devise,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_sdb,etage,etat,ascenseur,piscine,parking,agence,vendeur_type,date_publication,titre,url
yakeey.com,ca191409,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #1,https://yakeey.com/fr-ma/acheter-appartement-casablanca-racine-ca191409
yakeey.com,ca190811,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #2,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleuri-ca190811
yakeey.com,ca190604,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #3,https://yakeey.com/fr-ma/acheter-appartement-casablanca-racine-ca190604
yakeey.com,ca190895,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #4,https://yakeey.com/fr-ma/acheter-appartement-casablanca-sindibad-ca190895
yakeey.com,mv190586#simulation,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #5,https://yakeey.com/fr-ma/acheter-villa-marrakech-route-d'amizmiz-mv190586#simulation
yakeey.com,mt190720,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #6,https://yakeey.com/fr-ma/acheter-terrain-marrakech-route-de-fes-mt190720
yakeey.com,ca191422#simulation,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #7,https://yakeey.com/fr-ma/acheter-appartement-casablanca-nassim-ca191422#simulation
yakeey.com,mv190586,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #8,https://yakeey.com/fr-ma/acheter-villa-marrakech-route-d'amizmiz-mv190586
yakeey.com,ca187111,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #9,https://yakeey.com/fr-ma/acheter-appartement-casablanca-californie-ca187111
yakeey.com,bv191460#simulation,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #10,https://yakeey.com/fr-ma/acheter-villa-bouznika-plage-oued-cherrat-bv191460#simulation
yakeey.com,ma190769,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #11,https://yakeey.com/fr-ma/acheter-appartement-marrakech-rouidate-majorelle-ma190769
yakeey.com,nv191057,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #12,https://yakeey.com/fr-ma/acheter-villa-nouaceur-nouaceur-nv191057
yakeey.com,ca190903,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #13,https://yakeey.com/fr-ma/acheter-appartement-casablanca-la-gironde-ca190903
yakeey.com,cl190571,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #14,https://yakeey.com/fr-ma/acheter-local-commercial-casablanca-triangle-d'or-cl190571
yakeey.com,ca075185#simulation,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #15,https://yakeey.com/fr-ma/acheter-appartement-casablanca-plateau-ca075185#simulation
yakeey.com,ca191020,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #16,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-ca191020
yakeey.com,mt190580,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #17,https://yakeey.com/fr-ma/acheter-terrain-marrakech-route-d'amizmiz-mt190580
yakeey.com,ca189402,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #18,https://yakeey.com/fr-ma/acheter-appartement-casablanca-la-gironde-ca189402
yakeey.com,mt190580#simulation,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #19,https://yakeey.com/fr-ma/acheter-terrain-marrakech-route-d'amizmiz-mt190580#simulation
yakeey.com,bv191460,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #20,https://yakeey.com/fr-ma/acheter-villa-bouznika-plage-oued-cherrat-bv191460
yakeey.com,ca173582,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #21,https://yakeey.com/fr-ma/acheter-appartement-casablanca-racine-ca173582
yakeey.com,mt190720#simulation,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #22,https://yakeey.com/fr-ma/acheter-terrain-marrakech-route-de-fes-mt190720#simulation
yakeey.com,mv191509#simulation,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #23,https://yakeey.com/fr-ma/acheter-villa-mohammedia-la-seista-mv191509#simulation
yakeey.com,ca191463#simulation,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #24,https://yakeey.com/fr-ma/acheter-appartement-casablanca-mandarouna-ca191463#simulation
yakeey.com,ca190604#simulation,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #25,https://yakeey.com/fr-ma/acheter-appartement-casablanca-racine-ca190604#simulation
yakeey.com,ca190888#simulation,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #26,https://yakeey.com/fr-ma/acheter-appartement-casablanca-triangle-d'or-ca190888#simulation
yakeey.com,ca187119,2026-06-03 01:28,Appartement,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #27,https://yakeey.com/fr-ma/acheter-appartement-casablanca-ferme-bretonne-ca187119
yakeey.com,cl190571#simulation,2026-06-03 01:28,Villa,vente,Maroc,Contact,MAD,,,,,,,,,,,Yakeey,professionnel,,Annonce Yakeey #28,https://yakeey.com/fr-ma/acheter-local-commercial-casablanca-triangle-d'or-cl190571#simulation
